Date,Close/Last,Volume,Open,High,Low
06/16/2022,7.464,127927,7.54,8.027,7.33
06/15/2022,7.42,116029,7.269,7.698,7.201
06/14/2022,7.189,266662,8.686,8.889,7.008
06/13/2022,8.609,152721,8.92,8.95,8.382
06/10/2022,8.85,119968,8.997,9.149,8.622
06/09/2022,8.963,225289,8.629,9.036,8.016
06/08/2022,8.699,228418,9.335,9.664,8.427
06/07/2022,9.293,114728,9.359,9.544,9.2
06/06/2022,9.322,122874,8.75,9.4,8.732
06/03/2022,8.523,71100,8.412,8.693,8.267
06/02/2022,8.485,113670,8.783,9.057,8.377
06/01/2022,8.696,101099,8.271,8.791,8.146
05/31/2022,8.145,119734,8.874,8.916,8.118
05/27/2022,8.727,103563,8.811,8.895,8.285
05/26/2022,8.908,1466,8.984,9.401,8.785
05/25/2022,8.971,30671,8.831,9.399,8.765
05/24/2022,8.796,29545,8.727,8.93,8.605
05/23/2022,8.744,61842,8.079,8.822,7.851
05/20/2022,8.083,79975,8.112,8.189,7.837
05/19/2022,8.308,86950,8.24,8.5,7.905
05/18/2022,8.368,78067,8.318,8.548,8.16
05/17/2022,8.304,74061,8.016,8.372,8.015
05/16/2022,7.956,89221,7.7,8.183,7.663
05/13/2022,7.663,80231,7.673,7.919,7.515
05/12/2022,7.739,96489,7.637,7.79,7.255
05/11/2022,7.64,111209,7.312,7.721,7.296
05/10/2022,7.385,176829,7.03,7.463,6.43
05/09/2022,7.026,183970,7.843,8.287,6.962
05/06/2022,8.043,157730,8.843,8.996,7.957
05/05/2022,8.783,155682,8.355,8.913,8.117
05/04/2022,8.415,127096,7.815,8.474,7.729
05/03/2022,7.954,148764,7.54,8.169,7.539
05/02/2022,7.475,108082,7.412,7.617,7.219
04/29/2022,7.244,105427,6.939,7.335,6.805
04/28/2022,6.888,136077,7.395,7.422,6.879
04/27/2022,7.267,2630,6.858,7.344,6.8
04/26/2022,6.85,31569,6.836,7.05,6.662
04/25/2022,6.669,29612,6.414,6.966,6.345
04/22/2022,6.534,75568,6.938,7.08,6.438
04/21/2022,6.957,141338,6.825,7.146,6.703
04/20/2022,6.937,153401,7.253,7.41,6.791
04/19/2022,7.176,229544,7.776,7.939,6.954
04/18/2022,7.82,180372,7.367,8.065,7.365
04/14/2022,7.3,206395,7.046,7.346,6.95
04/13/2022,6.997,192002,6.704,7.091,6.652
04/12/2022,6.68,212310,6.705,6.947,6.6
04/11/2022,6.643,156986,6.394,6.722,6.247
04/08/2022,6.278,166547,6.411,6.538,6.257
04/07/2022,6.359,176401,6.116,6.44,6
04/06/2022,6.029,157158,6.078,6.394,6
04/05/2022,6.032,151957,5.782,6.201,5.771
04/04/2022,5.712,129076,5.745,5.857,5.65
04/01/2022,5.72,170804,5.627,5.778,5.505
03/31/2022,5.642,153025,5.575,5.832,5.454
03/30/2022,5.605,112075,5.329,5.624,5.27
03/29/2022,5.336,2145,5.453,5.491,5.255
03/28/2022,5.508,25924,5.551,5.652,5.419
03/25/2022,5.571,27353,5.401,5.577,5.345
03/24/2022,5.401,77146,5.115,5.464,5.063
03/23/2022,5.232,73050,5.147,5.33,5.092
03/22/2022,5.187,108141,4.948,5.204,4.877
03/21/2022,4.9,63531,4.909,4.976,4.748
03/18/2022,4.863,61244,4.93,4.957,4.811
03/17/2022,4.99,89523,4.747,5.001,4.691
03/16/2022,4.748,77335,4.625,4.776,4.594
03/15/2022,4.568,80861,4.679,4.682,4.459
03/14/2022,4.658,71928,4.705,4.759,4.506
03/11/2022,4.725,77808,4.657,4.797,4.622
03/10/2022,4.631,75295,4.52,4.671,4.499
03/09/2022,4.526,87262,4.569,4.625,4.45
03/08/2022,4.527,152372,4.818,4.882,4.507
03/07/2022,4.833,125430,5.041,5.184,4.781
03/04/2022,5.016,121130,4.75,5.045,4.728
03/03/2022,4.722,132856,4.795,4.936,4.628
03/02/2022,4.762,139236,4.6,4.911,4.6
03/01/2022,4.573,107929,4.408,4.627,4.34
02/28/2022,4.402,101350,4.62,4.683,4.366
02/25/2022,4.47,109325,4.573,4.716,4.417
02/24/2022,4.568,3540,4.603,4.94,4.293
02/23/2022,4.623,35345,4.504,4.704,4.452
02/22/2022,4.498,39522,4.594,4.861,4.448
02/18/2022,4.431,62504,4.517,4.654,4.371
02/17/2022,4.486,111443,4.642,4.793,4.402
02/16/2022,4.717,140468,4.393,4.74,4.37
02/15/2022,4.306,128402,4.183,4.428,4.157
02/14/2022,4.195,108740,4.103,4.229,4.04
02/11/2022,3.941,143303,3.944,4.056,3.876
02/10/2022,3.959,108205,4.035,4.068,3.882
02/09/2022,4.009,116592,4.211,4.259,3.983
02/08/2022,4.248,122675,4.276,4.381,4.173
02/07/2022,4.232,165388,4.384,4.468,4.12
02/04/2022,4.572,141712,4.929,5.087,4.487
02/03/2022,4.888,180985,5.42,5.454,4.816
02/02/2022,5.501,277441,4.893,5.572,4.857
02/01/2022,4.751,133411,4.921,4.974,4.62
01/31/2022,4.874,147383,4.867,5.057,4.695
01/28/2022,4.639,248586,4.342,4.876,4.286
01/27/2022,6.265,7032,4.23,7.346,4.23
01/26/2022,4.277,34665,4.04,4.39,4.011
01/25/2022,4.053,21239,3.959,4.079,3.889
01/24/2022,4.027,41931,3.915,4.068,3.876
01/21/2022,3.999,66703,3.838,4.044,3.833
01/20/2022,3.802,87839,4.015,4.037,3.781
01/19/2022,4.031,107261,4.327,4.385,4.01
01/18/2022,4.283,111598,4.356,4.39,4.216
01/14/2022,4.262,102349,4.263,4.305,4.097
01/13/2022,4.27,209204,4.791,4.844,4.245
01/12/2022,4.857,194742,4.225,4.879,4.186
01/11/2022,4.249,107939,4.119,4.261,4.007
01/10/2022,4.079,157312,4.144,4.213,3.977
01/07/2022,3.916,120610,3.86,3.98,3.8
01/06/2022,3.812,113271,3.842,3.931,3.801
01/05/2022,3.882,93798,3.747,3.897,3.717
01/04/2022,3.717,126989,3.817,3.944,3.709
01/03/2022,3.815,95332,3.702,3.858,3.638
12/31/2021,3.73,85380,3.589,3.794,3.572
12/30/2021,3.561,118077,3.853,3.966,3.536
12/29/2021,4.024,4717,4.08,4.261,3.905
12/28/2021,4.055,27776,4.065,4.154,3.955
